"HostName","DisplayName","Direction","DisplayGroup","Profile","Action","PolicyStoreSourceType","PolicyStoreSource","Protocol","LocalPort","RemotePort","RemoteAddress"
"DC-SRV01","AllJoyn Router (TCP-In)","Inbound","AllJoyn Router","Domain, Private","Allow","Local","PersistentStore","TCP","9955","Any","Any"
"DC-SRV01","Core Networking - IPHTTPS (TCP-In)","Inbound","Core Networking","Any","Allow","Local","PersistentStore","TCP","IPHTTPSIn","Any","Any"
"DC-SRV01","Core Networking - Packet Too Big (ICMPv6-In)","Inbound","Core Networking","Any","Allow","Local","PersistentStore","ICMPv6","RPC","Any","Any"
"DC-SRV01","Cast to Device streaming server (RTSP-Streaming-In)","Inbound","Cast to Device functionality","Private","Allow","Local","PersistentStore","TCP","23554 23555 23556","Any","LocalSubnet"
"DC-SRV01","Core Networking - Multicast Listener Done (ICMPv6-In)","Inbound","Core Networking","Any","Allow","Local","PersistentStore","ICMPv6","RPC","Any","LocalSubnet6"
"DC-SRV01","AllJoyn Router (UDP-In)","Inbound","AllJoyn Router","Domain, Private","Allow","Local","PersistentStore","UDP","Any","Any","Any"
"DC-SRV01","Cast to Device UPnP Events (TCP-In)","Inbound","Cast to Device functionality","Public","Allow","Local","PersistentStore","TCP","2869","Any","PlayToDevice"
"DC-SRV01","Cast to Device functionality (qWave-TCP-In)","Inbound","Cast to Device functionality","Private, Public","Allow","Local","PersistentStore","TCP","2177","Any","PlayToDevice"
"DC-SRV01","Cast to Device streaming server (HTTP-Streaming-In)","Inbound","Cast to Device functionality","Private","Allow","Local","PersistentStore","TCP","10246","Any","LocalSubnet"
"DC-SRV01","Core Networking - Parameter Problem (ICMPv6-In)","Inbound","Core Networking","Any","Allow","Local","PersistentStore","ICMPv6","RPC","Any","Any"
"DC-SRV01","mDNS (UDP-In)","Inbound","mDNS","Private","Allow","Local","PersistentStore","UDP","5353","Any","LocalSubnet"
"DC-SRV01","Cast to Device SSDP Discovery (UDP-In)","Inbound","Cast to Device functionality","Public","Allow","Local","PersistentStore","UDP","PlayToDiscovery","Any","Any"
"DC-SRV01","Core Networking - Teredo (UDP-In)","Inbound","Core Networking","Any","Allow","Local","PersistentStore","UDP","Teredo","Any","Any"
