"HostName","DisplayName","Name","State","UserName","InstallDate","Started","Status","ProcessId","PathName"
"DC-SRV01","Active Directory Web Services","ADWS","Running","LocalSystem",,"True","OK","1968","C:\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe"
"DC-SRV01","AllJoyn Router Service","AJRouter","Stopped","NT AUTHORITY\LocalService",,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"DC-SRV01","Application Layer Gateway Service","ALG","Stopped","NT AUTHORITY\LocalService",,"False","OK","0","C:\Windows\System32\alg.exe"
"DC-SRV01","Application Host Helper Service","AppHostSvc","Running","localSystem",,"True","OK","1840","C:\Windows\system32\svchost.exe -k apphost"
"DC-SRV01","Application Identity","AppIDSvc","Stopped","NT Authority\LocalService",,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"DC-SRV01","Application Information","Appinfo","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k netsvcs -p"
"DC-SRV01","Application Management","AppMgmt","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k netsvcs -p"
"DC-SRV01","App Readiness","AppReadiness","Stopped","LocalSystem",,"False","OK","0","C:\Windows\System32\svchost.exe -k AppReadiness -p"
"DC-SRV01","Microsoft App-V Client","AppVClient","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\AppVClient.exe"
"DC-SRV01","AppX Deployment Service (AppXSVC)","AppXSvc","Running","LocalSystem",,"True","OK","6228","C:\Windows\system32\svchost.exe -k wsappx -p"
"DC-SRV01","ASP.NET State Service","aspnet_state","Stopped","NT AUTHORITY\NetworkService",,"False","OK","0","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\aspnet_state.exe"
"DC-SRV01","Windows Audio Endpoint Builder","AudioEndpointBuilder","Stopped","LocalSystem",,"False","OK","0","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DC-SRV01","Windows Audio","Audiosrv","Stopped","NT AUTHORITY\LocalService",,"False","OK","0","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"DC-SRV01","ActiveX Installer (AxInstSV)","AxInstSV","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k AxInstSVGroup"
"DC-SRV01","Base Filtering Engine","BFE","Running","NT AUTHORITY\LocalService",,"True","OK","1096","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"DC-SRV01","Background Intelligent Transfer Service","BITS","Running","LocalSystem",,"True","OK","1208","C:\Windows\System32\svchost.exe -k netsvcs -p"
"DC-SRV01","Background Tasks Infrastructure Service","BrokerInfrastructure","Running","LocalSystem",,"True","OK","820","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"DC-SRV01","Bluetooth Support Service","bthserv","Stopped","NT AUTHORITY\LocalService",,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalService -p"
"DC-SRV01","Capability Access Manager Service","camsvc","Running","LocalSystem",,"True","OK","2700","C:\Windows\system32\svchost.exe -k appmodel -p"
"DC-SRV01","Connected Devices Platform Service","CDPSvc","Running","NT AUTHORITY\LocalService",,"True","OK","412","C:\Windows\system32\svchost.exe -k LocalService -p"
"DC-SRV01","Certificate Propagation","CertPropSvc","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k netsvcs"
"DC-SRV01","Active Directory Certificate Services","CertSvc","Running","localSystem",,"True","OK","1960","C:\Windows\system32\certsrv.exe"
"DC-SRV01","Client License Service (ClipSVC)","ClipSVC","Stopped","LocalSystem",,"False","OK","0","C:\Windows\System32\svchost.exe -k wsappx -p"
"DC-SRV01","COM+ System Application","COMSysApp","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}"
"DC-SRV01","CoreMessaging","CoreMessagingRegistrar","Running","NT AUTHORITY\LocalService",,"True","OK","1832","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p"
"DC-SRV01","Cryptographic Services","CryptSvc","Running","NT Authority\NetworkService",,"True","OK","652","C:\Windows\system32\svchost.exe -k NetworkService -p"
"DC-SRV01","Offline Files","CscService","Stopped","LocalSystem",,"False","OK","0","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DC-SRV01","DCOM Server Process Launcher","DcomLaunch","Running","LocalSystem",,"True","OK","820","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"DC-SRV01","Optimize drives","defragsvc","Stopped","localSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k defragsvc"
"DC-SRV01","Device Association Service","DeviceAssociationService","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DC-SRV01","Device Install Service","DeviceInstall","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"DC-SRV01","DevQuery Background Discovery Broker","DevQueryBroker","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DC-SRV01","DFS Namespace","Dfs","Running","LocalSystem",,"True","OK","2052","C:\Windows\system32\dfssvc.exe"
"DC-SRV01","DFS Replication","DFSR","Running","LocalSystem",,"True","OK","2036","C:\Windows\system32\DFSRs.exe"
"DC-SRV01","DHCP Client","Dhcp","Running","NT Authority\LocalService",,"True","OK","348","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"DC-SRV01","Microsoft (R) Diagnostics Hub Standard Collector Service","diagnosticshub.standardcollector.service","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\DiagSvcs\DiagnosticsHub.StandardCollector.Service.exe"
"DC-SRV01","Connected User Experiences and Telemetry","DiagTrack","Stopped","LocalSystem",,"False","OK","0","C:\Windows\System32\svchost.exe -k utcsvc -p"
"DC-SRV01","Display Policy Service","DispBrokerDesktopSvc","Running","NT AUTHORITY\LocalService",,"True","OK","412","C:\Windows\system32\svchost.exe -k LocalService -p"
"DC-SRV01","Device Management Enrollment Service","DmEnrollmentSvc","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k netsvcs -p"
"DC-SRV01","Device Management Wireless Application Protocol (WAP) Push message Routing Service","dmwappushservice","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k netsvcs -p"
"DC-SRV01","DNS Server","DNS","Running","LocalSystem",,"True","OK","1992","C:\Windows\system32\dns.exe"
"DC-SRV01","DNS Client","Dnscache","Running","NT AUTHORITY\NetworkService",,"True","OK","652","C:\Windows\system32\svchost.exe -k NetworkService -p"
"DC-SRV01","Delivery Optimization","DoSvc","Stopped","NT Authority\NetworkService",,"False","OK","0","C:\Windows\System32\svchost.exe -k NetworkService -p"
"DC-SRV01","Wired AutoConfig","dot3svc","Stopped","localSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DC-SRV01","Diagnostic Policy Service","DPS","Running","NT AUTHORITY\LocalService",,"True","OK","1832","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p"
"DC-SRV01","Device Setup Manager","DsmSvc","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k netsvcs -p"
"DC-SRV01","DS Role Server","DsRoleSvc","Stopped","LocalSystem",,"False","OK","0","C:\Windows\System32\lsass.exe"
"DC-SRV01","Data Sharing Service","DsSvc","Running","LocalSystem",,"True","OK","364","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DC-SRV01","Extensible Authentication Protocol","EapHost","Stopped","localSystem",,"False","OK","0","C:\Windows\System32\svchost.exe -k netsvcs -p"
"DC-SRV01","Microsoft Edge Update Service (edgeupdate)","edgeupdate","Stopped","LocalSystem",,"False","OK","0","""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /svc"
