"HostName","OwnerDomain","Owner","UserSID","IsLocalUser","ProcessId","CommandLine","Description","Name","SessionId","CreationDate","Error"
"DC-SRV01",,,,"True","0",,"System Idle Process","System Idle Process","0","20240506140821.405253-420",
"DC-SRV01",,,,"True","4",,"System","System","0","20240506140821.405253-420",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","100",,"Registry","Registry","0","20240506140815.853483-420",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","292",,"smss.exe","smss.exe","0","20240506140821.411732-420",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","400",,"csrss.exe","csrss.exe","0","20240506140822.274806-420",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","468",,"wininit.exe","wininit.exe","0","20240506140822.401256-420",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","476",,"csrss.exe","csrss.exe","1","20240506140822.404737-420",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","560","winlogon.exe","winlogon.exe","winlogon.exe","1","20240506140822.467419-420",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","596",,"services.exe","services.exe","0","20240506140822.498993-420",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","620","C:\Windows\system32\lsass.exe","lsass.exe","lsass.exe","0","20240506140822.531219-420",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","808","C:\Windows\system32\svchost.exe -k DcomLaunch -p","svchost.exe","svchost.exe","0","20240506140823.714566-420",
"DC-SRV01","NT AUTHORITY","NETWORK SERVICE","S-1-5-20","True","868","C:\Windows\system32\svchost.exe -k RPCSS -p","svchost.exe","svchost.exe","0","20240506140823.812868-420",
"DC-SRV01","Window Manager","DWM-1","S-1-5-90-0-1","True","976","""dwm.exe""","dwm.exe","dwm.exe","1","20240506140823.951107-420",
"DC-SRV01","NT AUTHORITY","LOCAL SERVICE","S-1-5-19","True","264","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","svchost.exe","svchost.exe","0","20240506140823.984961-420",
"DC-SRV01","NT AUTHORITY","LOCAL SERVICE","S-1-5-19","True","1020","C:\Windows\system32\svchost.exe -k LocalService","svchost.exe","svchost.exe","0","20240506140823.984957-420",
"DC-SRV01","NT AUTHORITY","LOCAL SERVICE","S-1-5-19","True","332","C:\Windows\system32\svchost.exe -k LocalService -p","svchost.exe","svchost.exe","0","20240506140823.985760-420",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","480","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","svchost.exe","svchost.exe","0","20240506140823.999940-420",
"DC-SRV01","NT AUTHORITY","NETWORK SERVICE","S-1-5-20","True","752","C:\Windows\system32\svchost.exe -k NetworkService -p","svchost.exe","svchost.exe","0","20240506140824.005194-420",
"DC-SRV01","NT AUTHORITY","LOCAL SERVICE","S-1-5-19","True","1084","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p","svchost.exe","svchost.exe","0","20240506140824.049891-420",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","1204","C:\Windows\system32\svchost.exe -k netsvcs -p","svchost.exe","svchost.exe","0","20240506140824.138051-420",
"DC-SRV01","NT AUTHORITY","LOCAL SERVICE","S-1-5-19","True","1280","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","svchost.exe","svchost.exe","0","20240506140824.180226-420",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","2016","C:\Windows\System32\svchost.exe -k smbsvcs","svchost.exe","svchost.exe","0","20240506140833.669332-420",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","1436","C:\Windows\System32\spoolsv.exe","spoolsv.exe","spoolsv.exe","0","20240506140833.741548-420",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","1544","C:\Windows\system32\certsrv.exe","certsrv.exe","certsrv.exe","0","20240506140833.759926-420",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","320","C:\Windows\system32\svchost.exe -k apphost","svchost.exe","svchost.exe","0","20240506140833.761696-420",
"DC-SRV01","NT AUTHORITY","LOCAL SERVICE","S-1-5-19","True","1824","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p","svchost.exe","svchost.exe","0","20240506140833.762378-420",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","1808","C:\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe","Microsoft.ActiveDirectory.WebServices.exe","Microsoft.ActiveDirectory.WebServices.exe","0","20240506140833.764228-420",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","1892","C:\Windows\system32\dns.exe","dns.exe","dns.exe","0","20240506140833.796379-420",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","1976","C:\Windows\System32\ismserv.exe","ismserv.exe","ismserv.exe","0","20240506140833.818866-420",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","1964","C:\Windows\system32\dfssvc.exe","dfssvc.exe","dfssvc.exe","0","20240506140833.825515-420",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","8","C:\Windows\system32\svchost.exe -k appmodel -p","svchost.exe","svchost.exe","0","20240506140833.825679-420",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","2080","""C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe""","VGAuthService.exe","VGAuthService.exe","0","20240506140833.872906-420",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","2104","C:\Windows\system32\vm3dservice.exe","vm3dservice.exe","vm3dservice.exe","0","20240506140833.877855-420",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","2124","""C:\Program Files\VMware\VMware Tools\vmtoolsd.exe""","vmtoolsd.exe","vmtoolsd.exe","0","20240506140833.886238-420",
"DC-SRV01","NT AUTHORITY","LOCAL SERVICE","S-1-5-19","True","2164","C:\Windows\System32\wins.exe","WINS.EXE","WINS.EXE","0","20240506140833.917277-420",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","2248","C:\Windows\System32\svchost.exe -k netsvcs","svchost.exe","svchost.exe","0","20240506140833.969141-420",
"DC-SRV01","Font Driver Host","UMFD-1","S-1-5-96-0-1","True","2416","""fontdrvhost.exe""","fontdrvhost.exe","fontdrvhost.exe","1","20240506140834.092623-420",
"DC-SRV01","Font Driver Host","UMFD-0","S-1-5-96-0-0","True","2424","""fontdrvhost.exe""","fontdrvhost.exe","fontdrvhost.exe","0","20240506140834.094288-420",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","2440","vm3dservice.exe -n","vm3dservice.exe","vm3dservice.exe","1","20240506140834.134071-420",
"DC-SRV01","NT AUTHORITY","NETWORK SERVICE","S-1-5-20","True","2920","C:\Windows\system32\wbem\wmiprvse.exe","WmiPrvSE.exe","WmiPrvSE.exe","0","20240506140835.611480-420",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","3132","C:\Windows\system32\wbem\wmiprvse.exe","WmiPrvSE.exe","WmiPrvSE.exe","0","20240506140835.663512-420",
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","3724","sihost.exe","sihost.exe","sihost.exe","1","20240506140916.078727-420",
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","3728","C:\Windows\system32\svchost.exe -k UnistackSvcGroup","svchost.exe","svchost.exe","1","20240506140916.101830-420",
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","3752","taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}","taskhostw.exe","taskhostw.exe","1","20240506140916.155444-420",
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","948","""ctfmon.exe""","ctfmon.exe","ctfmon.exe","1","20240506140916.273033-420",
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","2816","C:\Windows\Explorer.EXE /NoUACCheck","explorer.exe","explorer.exe","1","20240506140916.619353-420",
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","4124","""C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe"" -ServerName:InputApp.AppXjd5de1g66v206tj52m9d0dtpppx4cgpn.mca","TextInputHost.exe","TextInputHost.exe","1","20240506140917.890328-420",
