"HostName","DisplayName","Name","State","UserName","InstallDate","Started","Status","ProcessId","PathName","Error"
"DC-SRV01","Active Directory Web Services","ADWS","Running",,,"True","OK","1808","C:\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe",
"DC-SRV01","AllJoyn Router Service","AJRouter","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p",
"DC-SRV01","Application Layer Gateway Service","ALG","Stopped",,,"False","OK","0","C:\Windows\System32\alg.exe",
"DC-SRV01","Application Host Helper Service","AppHostSvc","Running",,,"True","OK","320","C:\Windows\system32\svchost.exe -k apphost",
"DC-SRV01","Application Identity","AppIDSvc","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p",
"DC-SRV01","Application Information","Appinfo","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k netsvcs -p",
"DC-SRV01","Application Management","AppMgmt","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k netsvcs -p",
"DC-SRV01","App Readiness","AppReadiness","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k AppReadiness -p",
"DC-SRV01","Microsoft App-V Client","AppVClient","Stopped",,,"False","OK","0","C:\Windows\system32\AppVClient.exe",
"DC-SRV01","AppX Deployment Service (AppXSVC)","AppXSvc","Running",,,"True","OK","5544","C:\Windows\system32\svchost.exe -k wsappx -p",
"DC-SRV01","ASP.NET State Service","aspnet_state","Stopped",,,"False","OK","0","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\aspnet_state.exe",
"DC-SRV01","Windows Audio Endpoint Builder","AudioEndpointBuilder","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","Windows Audio","Audiosrv","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p",
"DC-SRV01","ActiveX Installer (AxInstSV)","AxInstSV","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k AxInstSVGroup",
"DC-SRV01","Base Filtering Engine","BFE","Running",,,"True","OK","1084","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p",
"DC-SRV01","Background Intelligent Transfer Service","BITS","Running",,,"True","OK","1204","C:\Windows\System32\svchost.exe -k netsvcs -p",
"DC-SRV01","Background Tasks Infrastructure Service","BrokerInfrastructure","Running",,,"True","OK","808","C:\Windows\system32\svchost.exe -k DcomLaunch -p",
"DC-SRV01","Bluetooth Support Service","bthserv","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalService -p",
"DC-SRV01","Capability Access Manager Service","camsvc","Running",,,"True","OK","8","C:\Windows\system32\svchost.exe -k appmodel -p",
"DC-SRV01","Connected Devices Platform Service","CDPSvc","Running",,,"True","OK","332","C:\Windows\system32\svchost.exe -k LocalService -p",
"DC-SRV01","Certificate Propagation","CertPropSvc","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k netsvcs",
"DC-SRV01","Active Directory Certificate Services","CertSvc","Running",,,"True","OK","1544","C:\Windows\system32\certsrv.exe",
"DC-SRV01","Client License Service (ClipSVC)","ClipSVC","Running",,,"True","OK","5544","C:\Windows\System32\svchost.exe -k wsappx -p",
"DC-SRV01","COM+ System Application","COMSysApp","Stopped",,,"False","OK","0","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}",
"DC-SRV01","CoreMessaging","CoreMessagingRegistrar","Running",,,"True","OK","1824","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p",
"DC-SRV01","Cryptographic Services","CryptSvc","Running",,,"True","OK","752","C:\Windows\system32\svchost.exe -k NetworkService -p",
"DC-SRV01","Offline Files","CscService","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","DCOM Server Process Launcher","DcomLaunch","Running",,,"True","OK","808","C:\Windows\system32\svchost.exe -k DcomLaunch -p",
"DC-SRV01","Optimize drives","defragsvc","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k defragsvc",
"DC-SRV01","Device Association Service","DeviceAssociationService","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","Device Install Service","DeviceInstall","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k DcomLaunch -p",
"DC-SRV01","DevQuery Background Discovery Broker","DevQueryBroker","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p",
"DC-SRV01","DFS Namespace","Dfs","Running",,,"True","OK","1964","C:\Windows\system32\dfssvc.exe",
"DC-SRV01","DFS Replication","DFSR","Running",,,"True","OK","5708","C:\Windows\system32\DFSRs.exe",
"DC-SRV01","DHCP Client","Dhcp","Running",,,"True","OK","264","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p",
"DC-SRV01","Microsoft (R) Diagnostics Hub Standard Collector Service","diagnosticshub.standardcollector.service","Stopped",,,"False","OK","0","C:\Windows\system32\DiagSvcs\DiagnosticsHub.StandardCollector.Service.exe",
"DC-SRV01","Connected User Experiences and Telemetry","DiagTrack","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k utcsvc -p",
"DC-SRV01","Display Policy Service","DispBrokerDesktopSvc","Running",,,"True","OK","332","C:\Windows\system32\svchost.exe -k LocalService -p",
"DC-SRV01","Device Management Enrollment Service","DmEnrollmentSvc","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k netsvcs -p",
"DC-SRV01","Device Management Wireless Application Protocol (WAP) Push message Routing Service","dmwappushservice","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k netsvcs -p",
"DC-SRV01","DNS Server","DNS","Running",,,"True","OK","1892","C:\Windows\system32\dns.exe",
"DC-SRV01","DNS Client","Dnscache","Running",,,"True","OK","752","C:\Windows\system32\svchost.exe -k NetworkService -p",
"DC-SRV01","Delivery Optimization","DoSvc","Running",,,"True","OK","1484","C:\Windows\System32\svchost.exe -k NetworkService -p",
